gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S ATLANTIC CITY NJ,ATL,03/03/23,03/06/23,BOS
HARRAH'S ATLANTIC CITY NJ,ATL,03/06/23,03/09/23,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,03/09/23,03/12/23,SAV
HARRAH'S ATLANTIC CITY NJ,ATL,03/09/23,03/12/23,AVL
HARRAH'S ATLANTIC CITY NJ,ATL,03/09/23,03/12/23,RSW
HARRAH'S ATLANTIC CITY NJ,ATL,03/12/23,03/15/23,BHM
HARRAH'S ATLANTIC CITY NJ,ATL,03/15/23,03/18/23,CAE
HARRAH'S ATLANTIC CITY NJ,ATL,03/18/23,03/21/23,SFB
HARRAH'S ATLANTIC CITY NJ,ATL,03/21/23,03/24/23,CHA
HARRAH'S ATLANTIC CITY NJ,ATL,03/23/23,03/26/23,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,03/23/23,03/26/23,OAJ
HARRAH'S ATLANTIC CITY NJ,ATL,03/24/23,03/27/23,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,03/24/23,03/27/23,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,03/27/23,03/30/23,CLE
HARRAH'S ATLANTIC CITY NJ,ATL,04/03/23,04/06/23,SFB
HARRAH'S ATLANTIC CITY NJ,ATL,04/04/23,04/07/23,ALB
HARRAH'S ATLANTIC CITY NJ,ATL,04/04/23,04/07/23,BDL
HARRAH'S ATLANTIC CITY NJ,ATL,04/06/23,04/09/23,PGV
HARRAH'S ATLANTIC CITY NJ,ATL,04/08/23,04/11/23,DAY
HARRAH'S ATLANTIC CITY NJ,ATL,04/09/23,04/12/23,ROC
HARRAH'S ATLANTIC CITY NJ,ATL,04/09/23,04/12/23,SYR
HARRAH'S ATLANTIC CITY NJ,ATL,04/10/23,04/13/23,AVL
HARRAH'S ATLANTIC CITY NJ,ATL,04/12/23,04/15/23,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,04/12/23,04/15/23,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,04/14/23,04/17/23,MSY
HARRAH'S ATLANTIC CITY NJ,ATL,04/15/23,04/18/23,SAV
HARRAH'S ATLANTIC CITY NJ,ATL,04/16/23,04/19/23,TRI
