gamingresort,casinocode,departingat,arrivingat,departingairport,
HARRAH'S LAKE TAHOE NV,TAH,05/19/22,05/24/22,ATL,
HARRAH'S LAKE TAHOE NV,TAH,05/19/22,05/22/22,ACV,
HARRAH'S LAKE TAHOE NV,TAH,05/20/22,05/23/22,BFL,
HARRAH'S LAKE TAHOE NV,TAH,05/20/22,05/24/22,DFW,
HARRAH'S LAKE TAHOE NV,TAH,05/20/22,05/24/22,IAH,
HARRAH'S LAKE TAHOE NV,TAH,05/20/22,05/24/22,OMA,
HARRAH'S LAKE TAHOE NV,TAH,05/22/22,05/26/22,AUS,
HARRAH'S LAKE TAHOE NV,TAH,05/22/22,05/26/22,ACV,
HARRAH'S LAKE TAHOE NV,TAH,05/22/22,05/27/22,JFK,
HARRAH'S LAKE TAHOE NV,TAH,05/23/22,05/27/22,BFL,
HARRAH'S LAKE TAHOE NV,TAH,05/25/22,05/30/22,BUF,
HARRAH'S LAKE TAHOE NV,TAH,05/25/22,05/30/22,ORD,
HARRAH'S LAKE TAHOE NV,TAH,05/26/22,05/29/22,ACV,
HARRAH'S LAKE TAHOE NV,TAH,05/26/22,05/31/22,TPA,
HARRAH'S LAKE TAHOE NV,TAH,05/27/22,05/30/22,BFL,
HARRAH'S LAKE TAHOE NV,TAH,05/28/22,06/02/22,BHM,
HARRAH'S LAKE TAHOE NV,TAH,06/01/22,06/06/22,BWI,
HARRAH'S LAKE TAHOE NV,TAH,06/01/22,06/06/22,MCI,
HARRAH'S LAKE TAHOE NV,TAH,06/02/22,06/07/22,ATL,
HARRAH'S LAKE TAHOE NV,TAH,06/02/22,06/07/22,CLE,
HARRAH'S LAKE TAHOE NV,TAH,06/02/22,06/07/22,IND,
HARRAH'S LAKE TAHOE NV,TAH,06/02/22,06/07/02,EWR,
HARRAH'S LAKE TAHOE NV,TAH,06/02/22,06/07/22,MCO,
HARRAH'S LAKE TAHOE NV,TAH,06/02/22,06/07/22,RDU,
HARRAH'S LAKE TAHOE NV,TAH,06/03/22,06/07/22,AUS,
HARRAH'S LAKE TAHOE NV,TAH,06/03/22,06/07/22,DFW,
HARRAH'S LAKE TAHOE NV,TAH,06/03/22,06/06/22,DEN,
HARRAH'S LAKE TAHOE NV,TAH,06/03/22,06/07/22,IAH,
HARRAH'S LAKE TAHOE NV,TAH,06/03/22,06/05/22,PHX,
HARRAH'S LAKE TAHOE NV,TAH,06/05/22,06/10/22,JFK,
HARRAH'S LAKE TAHOE NV,TAH,06/06/22,06/11/55,CLT,
HARRAH'S LAKE TAHOE NV,TAH,06/08/22,06/13/22,BOS,
HARRAH'S LAKE TAHOE NV,TAH,06/09/22,06/14/22,BHM,
HARRAH'S LAKE TAHOE NV,TAH,06/09/22,06/14/22,ORD,
HARRAH'S LAKE TAHOE NV,TAH,06/09/22,06/14/22,MSY,
HARRAH'S LAKE TAHOE NV,TAH,06/09/22,06/14/22,PHL,
HARRAH'S LAKE TAHOE NV,TAH,06/09/22,06/14/22,TPA,
HARRAH'S LAKE TAHOE NV,TAH,06/10/22,06/14/22,SAT,
HARRAH'S LAKE TAHOE NV,TAH,06/12/22,06/17/22,ATL,
HARRAH'S LAKE TAHOE NV,TAH,06/13/22,06/18/22,ORD,
HARRAH'S LAKE TAHOE NV,TAH,06/14/22,06/19/22,EWR,
HARRAH'S LAKE TAHOE NV,TAH,06/15/22,06/20/22,BUF,
HARRAH'S LAKE TAHOE NV,TAH,06/15/22,06/20/22,DTW,
HARRAH'S LAKE TAHOE NV,TAH,06/15/22,06/20/22,STL,
HARRAH'S LAKE TAHOE NV,TAH,06/16/22,06/21/22,MCI,
HARRAH'S LAKE TAHOE NV,TAH,06/16/22,06/21/22,BNA,
HARRAH'S LAKE TAHOE NV,TAH,06/16/22,06/20/22,OKC,
HARRAH'S LAKE TAHOE NV,TAH,06/16/22,06/21/22,PIT,
HARRAH'S LAKE TAHOE NV,TAH,06/17/22,06/21/22,IAH,
HARRAH'S LAKE TAHOE NV,TAH,06/17/22,06/22/22,SDF,
HARRAH'S LAKE TAHOE NV,TAH,06/17/22,06/19/22,PHX,
HARRAH'S LAKE TAHOE NV,TAH,06/18/22,06/23/22,JFK,
HARRAH'S LAKE TAHOE NV,TAH,06/21/22,06/23/22,SEA,
HARRAH'S LAKE TAHOE NV,TAH,06/22/22,06/27/22,BWI,
HARRAH'S LAKE TAHOE NV,TAH,06/22/22,06/27/22,CLT,
HARRAH'S LAKE TAHOE NV,TAH,06/23/22,06/28/22,ATL,
HARRAH'S LAKE TAHOE NV,TAH,06/23/22,06/28/22,ORD,
HARRAH'S LAKE TAHOE NV,TAH,06/23/22,06/28/22,EWR,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/28/22,DFW,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/27/22,DEN,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/28/22,ELP,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/26/22,LAS,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/26/22,LAX,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/26/22,SJC,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/26/22,OAK,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/28/22,OMA,
HARRAH'S LAKE TAHOE NV,TAH,06/24/22,06/26/22,SAN,
HARRAH'S LAKE TAHOE NV,TAH,06/25/22,06/29/22,IAH,
HARRAH'S LAKE TAHOE NV,TAH,5/18/2022,5/22/2022,DSM,
HARRAH'S LAKE TAHOE NV,TAH,5/18/2022,5/22/2022,FSD,
HARRAH'S LAKE TAHOE NV,TAH,6/4/2022,6/8/2022,CMH,
HARRAH'S LAKE TAHOE NV,TAH,6/7/2022,6/11/2022,GRB,
HARRAH'S LAKE TAHOE NV,TAH,06/088/22,6/12/2022,IND,
HARRAH'S LAKE TAHOE NV,TAH,6/11/2022,6/15/2022,GRR,
HARRAH'S LAKE TAHOE NV,TAH,6/11/2022,6/15/2022,GRI,
HARRAH'S LAKE TAHOE NV,TAH,6/12/2022,6/16/2022,MKE,
HARRAH'S LAKE TAHOE NV,TAH,6/15/2022,6/19/2022,MSP,
HARRAH'S LAKE TAHOE NV,TAH,6/18/2022,6/22/2022,DFW,
HARRAH'S LAKE TAHOE NV,TAH,6/20/2022,6/24/2022,MCI,
HARRAH'S LAKE TAHOE NV,TAH,6/23/2022,6/27/2022,MBS,
HARRAH'S LAKE TAHOE NV,TAH,6/23/2022,6/27/2022,DEN,
HARRAH'S LAKE TAHOE NV,TAH,7/14/2022,7/18/2022,MDW,
HARRAH'S LAKE TAHOE NV,TAH,7/18/2022,7/22/2022,MKE,
HARRAH'S LAKE TAHOE NV,TAH,7/20/2022,7/24/2022,DFW,
HARRAH'S LAKE TAHOE NV,TAH,7/23/2022,7/27/2022,DTW,
SILVER LEGACY RENO NV,TRW,05/19/22,05/22/22,ACV,
SILVER LEGACY RENO NV,TRW,05/20/22,05/23/22,BFL,
SILVER LEGACY RENO NV,TRW,05/20/22,05/24/22,DFW,
SILVER LEGACY RENO NV,TRW,05/20/22,05/24/22,IAH,
SILVER LEGACY RENO NV,TRW,05/20/22,05/24/22,OMA,
SILVER LEGACY RENO NV,TRW,05/22/22,05/26/22,AUS,
SILVER LEGACY RENO NV,TRW,05/22/22,05/26/22,ACV,
SILVER LEGACY RENO NV,TRW,05/22/22,05/27/22,JFK,
SILVER LEGACY RENO NV,TRW,05/23/22,05/27/22,BFL,
SILVER LEGACY RENO NV,TRW,05/25/22,05/30/22,BUF,
SILVER LEGACY RENO NV,TRW,05/25/22,05/30/22,ORD,
SILVER LEGACY RENO NV,TRW,05/26/22,05/29/22,ACV,
SILVER LEGACY RENO NV,TRW,05/26/22,05/31/22,TPA,
SILVER LEGACY RENO NV,TRW,05/27/22,05/30/22,BFL,
SILVER LEGACY RENO NV,TRW,05/28/22,06/02/22,BHM,
SILVER LEGACY RENO NV,TRW,06/01/22,06/06/22,BWI,
SILVER LEGACY RENO NV,TRW,06/01/22,06/06/22,MCI,
SILVER LEGACY RENO NV,TRW,06/02/22,06/07/22,ATL,
SILVER LEGACY RENO NV,TRW,06/02/22,06/07/22,CLE,
SILVER LEGACY RENO NV,TRW,06/02/22,06/07/22,IND,
SILVER LEGACY RENO NV,TRW,06/02/22,06/07/02,EWR,
SILVER LEGACY RENO NV,TRW,06/02/22,06/07/22,MCO,
SILVER LEGACY RENO NV,TRW,06/02/22,06/07/22,RDU,
SILVER LEGACY RENO NV,TRW,06/03/22,06/07/22,AUS,
SILVER LEGACY RENO NV,TRW,06/03/22,06/07/22,DFW,
SILVER LEGACY RENO NV,TRW,06/03/22,06/06/22,DEN,
SILVER LEGACY RENO NV,TRW,06/03/22,06/07/22,IAH,
SILVER LEGACY RENO NV,TRW,06/03/22,06/05/22,PHX,
SILVER LEGACY RENO NV,TRW,06/05/22,06/10/22,JFK,
SILVER LEGACY RENO NV,TRW,06/06/22,06/11/55,CLT,
SILVER LEGACY RENO NV,TRW,06/08/22,06/13/22,BOS,
SILVER LEGACY RENO NV,TRW,06/09/22,06/14/22,BHM,
SILVER LEGACY RENO NV,TRW,06/09/22,06/14/22,ORD,
SILVER LEGACY RENO NV,TRW,06/09/22,06/14/22,MSY,
SILVER LEGACY RENO NV,TRW,06/09/22,06/14/22,PHL,
SILVER LEGACY RENO NV,TRW,06/09/22,06/14/22,TPA,
SILVER LEGACY RENO NV,TRW,06/10/22,06/14/22,SAT,
SILVER LEGACY RENO NV,TRW,06/12/22,06/17/22,ATL,
SILVER LEGACY RENO NV,TRW,06/13/22,06/18/22,ORD,
SILVER LEGACY RENO NV,TRW,06/14/22,06/19/22,EWR,
SILVER LEGACY RENO NV,TRW,06/15/22,06/20/22,BUF,
SILVER LEGACY RENO NV,TRW,06/15/22,06/20/22,DTW,
SILVER LEGACY RENO NV,TRW,06/15/22,06/20/22,STL,
SILVER LEGACY RENO NV,TRW,06/16/22,06/21/22,MCI,
SILVER LEGACY RENO NV,TRW,06/16/22,06/21/22,BNA,
SILVER LEGACY RENO NV,TRW,06/16/22,06/20/22,OKC,
SILVER LEGACY RENO NV,TRW,06/16/22,06/21/22,PIT,
SILVER LEGACY RENO NV,TRW,06/17/22,06/21/22,IAH,
SILVER LEGACY RENO NV,TRW,06/17/22,06/22/22,SDF,
SILVER LEGACY RENO NV,TRW,06/17/22,06/19/22,PHX,
SILVER LEGACY RENO NV,TRW,06/18/22,06/23/22,JFK,
SILVER LEGACY RENO NV,TRW,06/21/22,06/23/22,SEA,
SILVER LEGACY RENO NV,TRW,06/22/22,06/27/22,BWI,
SILVER LEGACY RENO NV,TRW,06/22/22,06/27/22,CLT,
SILVER LEGACY RENO NV,TRW,06/23/22,06/28/22,ATL,
SILVER LEGACY RENO NV,TRW,06/23/22,06/28/22,ORD,
SILVER LEGACY RENO NV,TRW,06/23/22,06/28/22,EWR,
SILVER LEGACY RENO NV,TRW,06/24/22,06/28/22,DFW,
SILVER LEGACY RENO NV,TRW,06/24/22,06/27/22,DEN,
SILVER LEGACY RENO NV,TRW,06/24/22,06/28/22,ELP,
SILVER LEGACY RENO NV,TRW,06/24/22,06/26/22,LAS,
SILVER LEGACY RENO NV,TRW,06/24/22,06/26/22,LAX,
SILVER LEGACY RENO NV,TRW,06/24/22,06/26/22,SJC,
SILVER LEGACY RENO NV,TRW,06/24/22,06/26/22,OAK,
SILVER LEGACY RENO NV,TRW,06/24/22,06/28/22,OMA,
SILVER LEGACY RENO NV,TRW,06/24/22,06/26/22,SAN,
SILVER LEGACY RENO NV,TRW,06/25/22,06/29/22,IAH,
SILVER LEGACY RENO NV,TRW,5/18/2022,5/22/2022,DSM,
SILVER LEGACY RENO NV,TRW,5/18/2022,5/22/2022,FSD,
SILVER LEGACY RENO NV,TRW,6/4/2022,6/8/2022,CMH,
SILVER LEGACY RENO NV,TRW,6/7/2022,6/11/2022,GRB,
SILVER LEGACY RENO NV,TRW,06/088/22,6/12/2022,IND,
SILVER LEGACY RENO NV,TRW,6/11/2022,6/15/2022,GRR,
SILVER LEGACY RENO NV,TRW,6/11/2022,6/15/2022,GRI,
SILVER LEGACY RENO NV,TRW,6/12/2022,6/16/2022,MKE,
SILVER LEGACY RENO NV,TRW,6/15/2022,6/19/2022,MSP,
SILVER LEGACY RENO NV,TRW,6/18/2022,6/22/2022,DFW,
SILVER LEGACY RENO NV,TRW,6/20/2022,6/24/2022,MCI,
SILVER LEGACY RENO NV,TRW,6/23/2022,6/27/2022,MBS,
SILVER LEGACY RENO NV,TRW,6/23/2022,6/27/2022,DEN,
SILVER LEGACY RENO NV,TRW,7/14/2022,7/18/2022,MDW,
SILVER LEGACY RENO NV,TRW,7/18/2022,7/22/2022,MKE,
SILVER LEGACY RENO NV,TRW,7/20/2022,7/24/2022,DFW,
SILVER LEGACY RENO NV,TRW,7/23/2022,7/27/2022,DTW,
HORSESHOE TUNICA MS,UTU,6/8/2022,6/11/2022,CHA,
HORSESHOE TUNICA MS,UTU,7/6/2022,7/9/2022,SAT,
