casinocode,departingat,arrivingat,departingairport
ATL,5/4/2022,5/7/2022,LBE
ATL,5/5/2022,5/8/2022,GSO
ATL,5/7/2022,5/10/2022,CAK
ATL,5/8/2022,5/11/2022,SBN
ATL,5/8/2022,5/11/2022,TOL
ATL,5/9/2022,5/12/2022,MSY
ATL,5/11/2022,5/14/2022,CMH
ATL,5/12/2022,5/15/2022,RIC
ATL,5/12/2022,5/15/2022,ORF
ATL,5/13/2022,5/16/2022,PIT
ATL,5/15/2022,5/18/2022,BUF
ATL,5/16/2022,5/19/2022,CHA
ATL,5/17/2022,5/20/2022,FWA
ATL,5/19/2022,5/22/2022,ILM
ATL,5/19/2022,5/22/2022,FAY
ATL,5/20/2022,5/23/2022,AVL
ATL,5/23/2022,5/26/2022,JAX
ATL,5/23/2022,5/26/2022,SAV
ATL,5/25/2022,5/28/2022,PWM
ATL,5/25/2022,5/28/2022,MHT
ATL,5/25/2022,5/28/2022,DTW
ATL,5/27/2022,5/30/2022,BNA
ATL,5/28/2022,5/31/2022,ALB
ATL,5/28/2022,5/31/2022,BDL
ATL,5/29/2022,6/1/2022,BOS
ATL,5/29/2022,6/1/2022,PVD
ATL,5/31/2022,6/3/2022,RFD
ATL,5/31/2022,6/3/2022,TOL
ATL,6/1/2022,6/4/2022,BFM
ATL,6/2/2022,6/5/2022,LBE
ATL,6/4/2022,6/7/2022,PGV
ATL,6/4/2022,6/7/2022,OAJ
ATL,6/5/2022,6/8/2022,MCN
ATL,6/5/2022,6/8/2022,AGS
ATL,6/6/2022,6/9/2022,LEX
ATL,6/8/2022,6/11/2022,PBI
ATL,6/9/2022,6/12/2022,CAK
ATL,6/10/2022,6/13/2022,RIC
ATL,6/10/2022,6/13/2022,ORF
ATL,6/13/2022,6/16/2022,SAV
ATL,6/13/2022,6/16/2022,ROA
ATL,6/16/2022,6/19/2022,BUF
ATL,6/17/2022,6/20/2022,LIT
ATL,6/17/2022,6/20/2022,SGF
ATL,6/18/2022,6/21/2022,RDU
ATL,6/20/2022,6/23/2022,CLT
ATL,6/21/2022,6/24/2022,SYR
