gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S ATLANTIC CITY NJ,ATL,12/30/22,01/02/23,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,01/13/23,01/16/23,CMH
HARRAH'S ATLANTIC CITY NJ,ATL,01/14/23,01/17/23,CLE
HARRAH'S ATLANTIC CITY NJ,ATL,01/17/23,01/20/23,AGS
HARRAH'S ATLANTIC CITY NJ,ATL,01/17/23,01/20/23,MCN
HARRAH'S ATLANTIC CITY NJ,ATL,01/19/23,01/22/23,YYZ
HARRAH'S ATLANTIC CITY NJ,ATL,01/22/23,01/25/23,CRW
HARRAH'S ATLANTIC CITY NJ,ATL,01/22/23,01/25/23,ROA
HARRAH'S ATLANTIC CITY NJ,ATL,01/23/23,01/26/23,CAE
HARRAH'S ATLANTIC CITY NJ,ATL,01/26/23,01/29/23,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,01/26/23,01/29/23,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,01/29/23,02/01/23,MDW
HARRAH'S ATLANTIC CITY NJ,ATL,02/03/23,02/06/23,PGV
HARRAH'S ATLANTIC CITY NJ,ATL,02/04/23,02/07/23,TYS
HARRAH'S ATLANTIC CITY NJ,ATL,02/06/23,02/09/23,BNA
HARRAH'S ATLANTIC CITY NJ,ATL,02/07/23,02/10/23,DTW
HARRAH'S ATLANTIC CITY NJ,ATL,02/09/23,02/12/23,CLT
HARRAH'S ATLANTIC CITY NJ,ATL,02/12/23,02/15/23,PBI
HARRAH'S ATLANTIC CITY NJ,ATL,02/15/23,02/18/23,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,02/18/23,02/21/23,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,02/18/23,02/21/23,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,02/21/23,02/24/23,SFB
HARRAH'S ATLANTIC CITY NJ,ATL,02/22/23,02/25/23,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,02/24/23,02/27/23,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,02/24/23,02/27/23,ILM
HARRAH'S GULF COAST BILOXI MS,GBI,01/12/23,01/15/23,GRB
HARRAH'S GULF COAST BILOXI MS,GBI,01/14/23,01/17/23,TYS
HARRAH'S GULF COAST BILOXI MS,GBI,01/16/23,01/19/23,DTW
HARRAH'S GULF COAST BILOXI MS,GBI,01/18/23,01/21/23,IND
HARRAH'S GULF COAST BILOXI MS,GBI,01/18/23,01/21/23,ICT
HARRAH'S GULF COAST BILOXI MS,GBI,01/18/23,01/21/23,SGF
HARRAH'S GULF COAST BILOXI MS,GBI,01/20/23,01/23/23,CHA
HARRAH'S GULF COAST BILOXI MS,GBI,01/21/23,01/24/23,DFW
HARRAH'S GULF COAST BILOXI MS,GBI,01/22/23,01/25/23,ABE
HARRAH'S GULF COAST BILOXI MS,GBI,01/24/23,01/27/23,SJT
HARRAH'S GULF COAST BILOXI MS,GBI,01/24/23,01/27/23,GGG
HARRAH'S GULF COAST BILOXI MS,GBI,01/24/23,01/27/23,TRI
HARRAH'S GULF COAST BILOXI MS,GBI,01/24/23,01/27/23,GSP
HARRAH'S GULF COAST BILOXI MS,GBI,01/26/23,01/29/23,DAY
HARRAH'S GULF COAST BILOXI MS,GBI,01/27/23,01/30/23,SAT
HARRAH'S GULF COAST BILOXI MS,GBI,01/30/23,02/02/23,MCI
HARRAH'S GULF COAST BILOXI MS,GBI,01/30/23,02/02/23,CVG
HARRAH'S GULF COAST BILOXI MS,GBI,01/30/23,02/02/23,HSV
HARRAH'S GULF COAST BILOXI MS,GBI,02/01/23,02/04/23,SPI
HARRAH'S GULF COAST BILOXI MS,GBI,02/02/23,02/05/23,MKE
HARRAH'S GULF COAST BILOXI MS,GBI,02/03/23,02/06/23,RIC
HARRAH'S GULF COAST BILOXI MS,GBI,02/03/23,02/06/23,ORF
HARRAH'S GULF COAST BILOXI MS,GBI,02/04/23,02/08/23,GRR
HARRAH'S GULF COAST BILOXI MS,GBI,02/05/23,02/08/23,SBN
HARRAH'S GULF COAST BILOXI MS,GBI,02/05/23,02/08/23,TOL
HARRAH'S GULF COAST BILOXI MS,GBI,02/07/23,02/10/23,MYR
HARRAH'S GULF COAST BILOXI MS,GBI,02/07/23,02/10/23,CHS
HARRAH'S GULF COAST BILOXI MS,GBI,02/08/23,02/11/23,CLE
HARRAH'S GULF COAST BILOXI MS,GBI,02/10/23,02/13/23,PIT
HARRAH'S GULF COAST BILOXI MS,GBI,02/11/23,02/14/23,CMH
HARRAH'S GULF COAST BILOXI MS,GBI,02/13/23,02/16/23,BUF
HARRAH'S GULF COAST BILOXI MS,GBI,02/14/23,02/17/23,CRW
HARRAH'S GULF COAST BILOXI MS,GBI,02/14/23,02/17/23,ROA
HARRAH'S GULF COAST BILOXI MS,GBI,02/16/23,02/19/23,MDW
HARRAH'S GULF COAST BILOXI MS,GBI,02/17/23,02/20/23,RDU
HARRAH'S GULF COAST BILOXI MS,GBI,02/19/23,02/22/23,SDF
HARRAH'S GULF COAST BILOXI MS,GBI,02/20/23,02/23/23,AGS
HARRAH'S GULF COAST BILOXI MS,GBI,02/20/23,02/23/23,MCN
HARRAH'S GULF COAST BILOXI MS,GBI,02/20/23,02/23/23,TYS
HARRAH'S GULF COAST BILOXI MS,GBI,02/22/23,02/25/23,EWR
HARRAH'S GULF COAST BILOXI MS,GBI,02/25/23,02/28/23,TPA
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/18/22,LAX
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/18/22,OAK
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,ONT
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,PSP
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/18/22,SAN
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,SJC
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,BOI
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/20/22,OMA
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/18/22,LAS
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,EUG 
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/20/22,ELP
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,PSC
HARVEYS LAKE TAHOE NV,HLT,12/16/22,12/19/22,GEG
HARVEYS LAKE TAHOE NV,HLT,12/18/22,12/22/22,SAT
HARVEYS LAKE TAHOE NV,HLT,01/05/23,01/10/23,MCO
HARVEYS LAKE TAHOE NV,HLT,01/05/23,01/10/23,IND
HARVEYS LAKE TAHOE NV,HLT,01/05/23,01/10/23,MSY
HARVEYS LAKE TAHOE NV,HLT,01/05/23,01/10/23,EWR
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/08/23,PHX
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/08/23,LGB
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/08/23,LAX
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/09/23,OAK
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/08/23,SAN
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/08/23,SJC
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/11/23,SDF
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/11/23,BWI
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/08/23,LAS
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/10/23,OKC
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/10/23,IAH
HARVEYS LAKE TAHOE NV,HLT,01/06/23,01/10/23,SAT
HARVEYS LAKE TAHOE NV,HLT,01/07/23,01/12/23,CLT
HARVEYS LAKE TAHOE NV,HLT,01/07/23,01/12/23,CLE
HARVEYS LAKE TAHOE NV,HLT,01/08/23,01/13/23,ATL
HARVEYS LAKE TAHOE NV,HLT,01/09/23,01/14/23,JFK
HARVEYS LAKE TAHOE NV,HLT,01/11/23,01/16/23,MCI
HARVEYS LAKE TAHOE NV,HLT,01/11/23,01/16/23,PHL
HARVEYS LAKE TAHOE NV,HLT,01/12/23,01/16/23,AUS
HARVEYS LAKE TAHOE NV,HLT,01/12/23,01/15/23,SJC
HARVEYS LAKE TAHOE NV,HLT,01/12/23,01/17/23,TPA
HARVEYS LAKE TAHOE NV,HLT,01/12/23,01/17/23,ORD
HARVEYS LAKE TAHOE NV,HLT,01/12/23,01/17/23,BOS
HARVEYS LAKE TAHOE NV,HLT,01/12/23,01/17/23,BNA
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/16/23,LGB
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/15/23,LAX
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/15/23,OAK
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/15/23,SAN
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/15/23,LAS
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/15/23,SEA
HARVEYS LAKE TAHOE NV,HLT,01/13/23,01/16/23,GEG
HARVEYS LAKE TAHOE NV,HLT,01/14/23,01/19/23,BHM
HARVEYS LAKE TAHOE NV,HLT,01/15/23,01/19/23,MEM
HARVEYS LAKE TAHOE NV,HLT,01/16/23,01/20/23,MSY
HARVEYS LAKE TAHOE NV,HLT,01/18/23,01/23/23,SDF
HARVEYS LAKE TAHOE NV,HLT,01/18/23,01/23/23,PIT
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/23/23,CLT
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/24/23,BWI
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/24/23,DTW
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/22/23,LAS
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/24/23,BUF
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/23/23,ELP
HARVEYS LAKE TAHOE NV,HLT,01/19/23,01/22/23,GEG
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/24/23,MCI
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/22/23,PHX
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/22/23,LGB
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/23/23,LAX
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/22/23,OAK
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/22/23,SAN
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/22/23,SJC
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/23/23,DEN
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/25/23,STL
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/24/23,OMA
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/25/23,EWR
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/24/23,AUS
HARVEYS LAKE TAHOE NV,HLT,01/20/23,01/24/23,DFW
HARVEYS LAKE TAHOE NV,HLT,01/21/23,01/26/23,RDU
HARVEYS LAKE TAHOE NV,HLT,01/21/23,01/26/23,PHL
HARVEYS LAKE TAHOE NV,HLT,01/22/23,01/27/23,BHM
HARVEYS LAKE TAHOE NV,HLT,01/22/23,01/27/23,JFK
HARVEYS LAKE TAHOE NV,HLT,01/22/23,01/27/23,BNA
HARVEYS LAKE TAHOE NV,HLT,01/23/23,01/27/23,SHV
HARVEYS LAKE TAHOE NV,HLT,01/23/23,01/27/23,ABQ
HARVEYS LAKE TAHOE NV,HLT,01/24/23,01/28/23,STL
HARVEYS LAKE TAHOE NV,HLT,01/24/23,01/29/23,IND
HARVEYS LAKE TAHOE NV,HLT,01/24/23,01/26/23,SEA
HARVEYS LAKE TAHOE NV,HLT,01/25/23,01/30/23,CLE
HARVEYS LAKE TAHOE NV,HLT,01/26/23,01/29/23,SAN
HARVEYS LAKE TAHOE NV,HLT,01/26/23,01/31/23,ATL
HARVEYS LAKE TAHOE NV,HLT,01/26/23,01/31/23,ORD
HARVEYS LAKE TAHOE NV,HLT,01/26/23,01/31/23,BOS
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/31/23,CRP
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/29/23,LGB
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/29/23,LAX
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/29/23,OAK
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/29/23,SJC
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/30/23,DEN
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/29/23,LAS
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/31/23,OKC
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/31/23,DFW
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/31/23,SAT
HARVEYS LAKE TAHOE NV,HLT,01/27/23,01/30/23,GEG
HARVEYS LAKE TAHOE NV,HLT,01/28/23,02/01/23,BMI
HARVEYS LAKE TAHOE NV,HLT,01/31/23,02/04/23,IAH
HARVEYS LAKE TAHOE NV,HLT,01/31/23,02/05/23,TPA
HARVEYS LAKE TAHOE NV,HLT,01/31/23,02/05/23,RDU
HARVEYS LAKE TAHOE NV,HLT,02/01/23,02/05/23,CAK
HARVEYS LAKE TAHOE NV,HLT,02/01/23,02/06/23,IND
HARVEYS LAKE TAHOE NV,HLT,02/01/23,02/06/23,SDF
HARVEYS LAKE TAHOE NV,HLT,02/01/23,02/06/23,BWI
HARVEYS LAKE TAHOE NV,HLT,02/01/23,02/06/23,CLT
HARVEYS LAKE TAHOE NV,HLT,02/01/23,02/06/23,EWR
