Gaming Resort,casinocode,departingat,arrivingat,departingairport
"HARRAH'S, LAKE TAHOE, NV",TAH,6/17/2022,6/19/2022,SAN
"HARRAH'S, LAKE TAHOE, NV",TAH,6/18/2022,6/23/2022,JFK
"HARRAH'S, LAKE TAHOE, NV",TAH,6/21/2022,6/23/2022,SEA
"HARRAH'S, LAKE TAHOE, NV",TAH,6/22/2022,6/27/2022,BWI
"HARRAH'S, LAKE TAHOE, NV",TAH,6/22/2022,6/27/2022,CLT
"HARRAH'S, LAKE TAHOE, NV",TAH,6/23/2022,6/28/2022,ATL
"HARRAH'S, LAKE TAHOE, NV",TAH,6/23/2022,6/28/2022,ORD
"HARRAH'S, LAKE TAHOE, NV",TAH,6/23/2022,6/28/2022,EWR
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/28/2022,DFW
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/27/2022,DEN
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/28/2022,ELP
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/26/2022,LAS
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/26/2022,LAX
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/26/2022,SJC
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/26/2022,OAK
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/28/2022,OMA
"HARRAH'S, LAKE TAHOE, NV",TAH,6/24/2022,6/26/2022,SAN
"HARRAH'S, LAKE TAHOE, NV",TAH,6/25/2022,6/29/2022,IAH
"HARRAH'S, LAKE TAHOE, NV",TAH,5/5/2022,5/9/2022,SHV
"HARRAH'S, LAKE TAHOE, NV",TAH,5/6/2022,5/10/2022,STL
"HARRAH'S, LAKE TAHOE, NV",TAH,5/9/2022,5/13/2022,IAH
"HARRAH'S, LAKE TAHOE, NV",TAH,5/12/2022,5/16/2022,TYS
"HARRAH'S, LAKE TAHOE, NV",TAH,5/15/2022,5/19/2022,DTW
"HARRAH'S, LAKE TAHOE, NV",TAH,5/18/2022,5/22/2022,DSM
"HARRAH'S, LAKE TAHOE, NV",TAH,5/18/2022,5/22/2022,FSD
"HARRAH'S, LAKE TAHOE, NV",TAH,6/4/2022,6/8/2022,CMH
"HARRAH'S, LAKE TAHOE, NV",TAH,6/7/2022,6/11/2022,GRB
"HARRAH'S, LAKE TAHOE, NV",TAH,06/088/22,6/12/2022,IND
"HARRAH'S, LAKE TAHOE, NV",TAH,6/11/2022,6/15/2022,GRR
"HARRAH'S, LAKE TAHOE, NV",TAH,6/11/2022,6/15/2022,GRI
"HARRAH'S, LAKE TAHOE, NV",TAH,6/12/2022,6/16/2022,MKE
"HARRAH'S, LAKE TAHOE, NV",TAH,6/15/2022,6/19/2022,MSP
"HARRAH'S, LAKE TAHOE, NV",TAH,6/18/2022,6/22/2022,DFW
"HARRAH'S, LAKE TAHOE, NV",TAH,6/20/2022,6/24/2022,MCI
"HARRAH'S, LAKE TAHOE, NV",TAH,6/23/2022,6/27/2022,MBS
"HARRAH'S, LAKE TAHOE, NV",TAH,6/23/2022,6/27/2022,DEN
"HARRAH'S, LAKE TAHOE, NV",TAH,7/14/2022,7/18/2022,MDW
"HARRAH'S, LAKE TAHOE, NV",TAH,7/18/2022,7/22/2022,MKE
"HARRAH'S, LAKE TAHOE, NV",TAH,7/20/2022,7/24/2022,DFW
"HARRAH'S, LAKE TAHOE, NV",TAH,7/23/2022,7/27/2022,DTW
"SILVER LEGACY, RENO, NV",TRW,5/5/2022,5/10/2022,ATL
"SILVER LEGACY, RENO, NV",TRW,5/5/2022,5/8/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/5/2022,5/10/2022,CLT
"SILVER LEGACY, RENO, NV",TRW,5/5/2022,5/10/2022,MSY
"SILVER LEGACY, RENO, NV",TRW,5/6/2022,5/9/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/6/2022,5/10/2022,IAH
"SILVER LEGACY, RENO, NV",TRW,5/8/2022,5/12/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/8/2022,5/13/2022,JFK
"SILVER LEGACY, RENO, NV",TRW,5/9/2022,5/13/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/9/2022,5/14/2022,BWI
"SILVER LEGACY, RENO, NV",TRW,5/9/2022,5/13/2022,SAT
"SILVER LEGACY, RENO, NV",TRW,5/11/2022,5/16/2022,DTW
"SILVER LEGACY, RENO, NV",TRW,5/11/2022,5/16/2022,STL
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,5/17/2022,BOS
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,5/15/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,4/17/2022,ORD
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,5/17/2022,MCO
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,5/17/2022,PIT
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,5/17/2022,RDU
"SILVER LEGACY, RENO, NV",TRW,5/13/2022,5/17/2022,AUS
"SILVER LEGACY, RENO, NV",TRW,5/13/2022,5/16/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/13/2022,5/16/2022,DEN
"SILVER LEGACY, RENO, NV",TRW,5/13/2022,5/15/2022,PHX
"SILVER LEGACY, RENO, NV",TRW,5/15/2022,5/19/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/15/2022,5/20/2022,CLT
"SILVER LEGACY, RENO, NV",TRW,5/16/2022,5/21/2022,ATL
"SILVER LEGACY, RENO, NV",TRW,5/16/2022,5/20/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/16/2022,5/21/2022,CLE
"SILVER LEGACY, RENO, NV",TRW,5/16/2022,5/21/2022,IND
"SILVER LEGACY, RENO, NV",TRW,5/16/2022,5/21/2022,SDF
"SILVER LEGACY, RENO, NV",TRW,5/17/2022,5/22/2022,EWR
"SILVER LEGACY, RENO, NV",TRW,5/18/2022,5/23/2022,BWI
"SILVER LEGACY, RENO, NV",TRW,5/18/2022,5/23/2022,BNA
"SILVER LEGACY, RENO, NV",TRW,5/19/2022,5/24/2022,ATL
"SILVER LEGACY, RENO, NV",TRW,5/19/2022,5/22/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/20/2022,5/23/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/20/2022,5/24/2022,DFW
"SILVER LEGACY, RENO, NV",TRW,5/20/2022,5/24/2022,IAH
"SILVER LEGACY, RENO, NV",TRW,5/20/2022,5/24/2022,OMA
"SILVER LEGACY, RENO, NV",TRW,5/22/2022,5/26/2022,AUS
"SILVER LEGACY, RENO, NV",TRW,5/22/2022,5/26/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/22/2022,5/27/2022,JFK
"SILVER LEGACY, RENO, NV",TRW,5/23/2022,5/27/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/25/2022,5/30/2022,BUF
"SILVER LEGACY, RENO, NV",TRW,5/25/2022,5/30/2022,ORD
"SILVER LEGACY, RENO, NV",TRW,5/26/2022,5/29/2022,ACV
"SILVER LEGACY, RENO, NV",TRW,5/26/2022,5/31/2022,TPA
"SILVER LEGACY, RENO, NV",TRW,5/27/2022,5/30/2022,BFL
"SILVER LEGACY, RENO, NV",TRW,5/28/2022,6/2/2022,BHM
"SILVER LEGACY, RENO, NV",TRW,6/1/2022,6/6/2022,BWI
"SILVER LEGACY, RENO, NV",TRW,6/1/2022,6/6/2022,MCI
"SILVER LEGACY, RENO, NV",TRW,6/2/2022,6/7/2022,ATL
"SILVER LEGACY, RENO, NV",TRW,6/2/2022,6/7/2022,CLE
"SILVER LEGACY, RENO, NV",TRW,6/2/2022,6/7/2022,IND
"SILVER LEGACY, RENO, NV",TRW,6/2/2022,6/7/2002,EWR
"SILVER LEGACY, RENO, NV",TRW,6/2/2022,6/7/2022,MCO
"SILVER LEGACY, RENO, NV",TRW,6/2/2022,6/7/2022,RDU
"SILVER LEGACY, RENO, NV",TRW,6/3/2022,6/7/2022,AUS
"SILVER LEGACY, RENO, NV",TRW,6/3/2022,6/7/2022,DFW
"SILVER LEGACY, RENO, NV",TRW,6/3/2022,6/6/2022,DEN
"SILVER LEGACY, RENO, NV",TRW,6/3/2022,6/7/2022,IAH
"SILVER LEGACY, RENO, NV",TRW,6/3/2022,6/5/2022,PHX
"SILVER LEGACY, RENO, NV",TRW,6/5/2022,6/10/2022,JFK
"SILVER LEGACY, RENO, NV",TRW,6/6/2022,6/11/1955,CLT
"SILVER LEGACY, RENO, NV",TRW,6/8/2022,6/13/2022,BOS
"SILVER LEGACY, RENO, NV",TRW,6/9/2022,6/14/2022,BHM
"SILVER LEGACY, RENO, NV",TRW,6/9/2022,6/14/2022,ORD
"SILVER LEGACY, RENO, NV",TRW,6/9/2022,6/14/2022,MSY
"SILVER LEGACY, RENO, NV",TRW,6/9/2022,6/14/2022,PHL
"SILVER LEGACY, RENO, NV",TRW,6/9/2022,6/12/2022,SAN
"SILVER LEGACY, RENO, NV",TRW,6/9/2022,6/14/2022,TPA
"SILVER LEGACY, RENO, NV",TRW,6/10/2022,6/13/2022,LAS
"SILVER LEGACY, RENO, NV",TRW,6/10/2022,6/12/2022,LAX
"SILVER LEGACY, RENO, NV",TRW,6/10/2022,6/12/2022,SJC
"SILVER LEGACY, RENO, NV",TRW,6/10/2022,6/12/2022,OAK
"SILVER LEGACY, RENO, NV",TRW,6/10/2022,6/14/2022,SAT
"SILVER LEGACY, RENO, NV",TRW,6/10/2022,6/12/2022,SEA
"SILVER LEGACY, RENO, NV",TRW,6/12/2022,6/17/2022,ATL
"SILVER LEGACY, RENO, NV",TRW,6/13/2022,6/18/2022,ORD
"SILVER LEGACY, RENO, NV",TRW,6/14/2022,6/19/2022,EWR
"SILVER LEGACY, RENO, NV",TRW,6/15/2022,6/20/2022,BUF
"SILVER LEGACY, RENO, NV",TRW,6/15/2022,6/20/2022,DTW
"SILVER LEGACY, RENO, NV",TRW,6/15/2022,6/20/2022,STL
"SILVER LEGACY, RENO, NV",TRW,6/16/2022,6/21/2022,MCI
"SILVER LEGACY, RENO, NV",TRW,6/16/2022,6/21/2022,BNA
"SILVER LEGACY, RENO, NV",TRW,6/16/2022,6/20/2022,OKC
"SILVER LEGACY, RENO, NV",TRW,6/16/2022,6/21/2022,PIT
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/21/2022,IAH
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/19/2022,LAS
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/20/2022,LAX
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/22/2022,SDF
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/20/2022,SJC
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/19/2022,OAK
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/19/2022,PHX
"SILVER LEGACY, RENO, NV",TRW,6/17/2022,6/19/2022,SAN
"SILVER LEGACY, RENO, NV",TRW,6/18/2022,6/23/2022,JFK
"SILVER LEGACY, RENO, NV",TRW,6/21/2022,6/23/2022,SEA
"SILVER LEGACY, RENO, NV",TRW,6/22/2022,6/27/2022,BWI
"SILVER LEGACY, RENO, NV",TRW,6/22/2022,6/27/2022,CLT
"SILVER LEGACY, RENO, NV",TRW,6/23/2022,6/28/2022,ATL
"SILVER LEGACY, RENO, NV",TRW,6/23/2022,6/28/2022,ORD
"SILVER LEGACY, RENO, NV",TRW,6/23/2022,6/28/2022,EWR
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/28/2022,DFW
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/27/2022,DEN
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/28/2022,ELP
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/26/2022,LAS
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/26/2022,LAX
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/26/2022,SJC
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/26/2022,OAK
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/28/2022,OMA
"SILVER LEGACY, RENO, NV",TRW,6/24/2022,6/26/2022,SAN
"SILVER LEGACY, RENO, NV",TRW,6/25/2022,6/29/2022,IAH
"SILVER LEGACY, RENO, NV",TRW,5/5/2022,5/9/2022,SHV
"SILVER LEGACY, RENO, NV",TRW,5/6/2022,5/10/2022,STL
"SILVER LEGACY, RENO, NV",TRW,5/9/2022,5/13/2022,IAH
"SILVER LEGACY, RENO, NV",TRW,5/12/2022,5/16/2022,TYS
"SILVER LEGACY, RENO, NV",TRW,5/15/2022,5/19/2022,DTW
"SILVER LEGACY, RENO, NV",TRW,5/18/2022,5/22/2022,DSM
"SILVER LEGACY, RENO, NV",TRW,5/18/2022,5/22/2022,FSD
"SILVER LEGACY, RENO, NV",TRW,6/4/2022,6/8/2022,CMH
"SILVER LEGACY, RENO, NV",TRW,6/7/2022,6/11/2022,GRB
"SILVER LEGACY, RENO, NV",TRW,06/088/22,6/12/2022,IND
"SILVER LEGACY, RENO, NV",TRW,6/11/2022,6/15/2022,GRR
"SILVER LEGACY, RENO, NV",TRW,6/11/2022,6/15/2022,GRI
"SILVER LEGACY, RENO, NV",TRW,6/12/2022,6/16/2022,MKE
"SILVER LEGACY, RENO, NV",TRW,6/15/2022,6/19/2022,MSP
"SILVER LEGACY, RENO, NV",TRW,6/18/2022,6/22/2022,DFW
"SILVER LEGACY, RENO, NV",TRW,6/20/2022,6/24/2022,MCI
"SILVER LEGACY, RENO, NV",TRW,6/23/2022,6/27/2022,MBS
"SILVER LEGACY, RENO, NV",TRW,6/23/2022,6/27/2022,DEN
"SILVER LEGACY, RENO, NV",TRW,7/14/2022,7/18/2022,MDW
"SILVER LEGACY, RENO, NV",TRW,7/18/2022,7/22/2022,MKE
"SILVER LEGACY, RENO, NV",TRW,7/20/2022,7/24/2022,DFW
"SILVER LEGACY, RENO, NV",TRW,7/23/2022,7/27/2022,DTW
"HORSESHOE, TUNICA, MS",UTU,5/9/2022,5/12/2022,CAE
"HORSESHOE, TUNICA, MS",UTU,6/8/2022,6/11/2022,CHA
"HORSESHOE, TUNICA, MS",UTU,7/6/2022,7/9/2022,SAT
