casinoCode,departingAt,arrivingAt,departingAirport
HLT,2/11/2022,2/14/2022,DEN
HLT,2/11/2022,2/15/2022,DFW
HLT,2/13/2022,2/17/2022,IAH
HLT,2/13/2022,2/17/2022,SAT
HLT,2/15/2022,2/20/2022,EWR
HLT,2/16/2022,2/21/2022,BWI
HLT,2/16/2022,2/20/2022,IAH
HLT,2/16/2022,2/21/2022,MCI
HLT,2/16/2022,2/21/2022,RDU
HLT,2/17/2022,2/21/2022,DFW
HLT,2/17/2022,2/22/2022,PIT
HLT,2/18/2022,2/22/2022,OMA
HLT,2/18/2022,2/20/2022,PHX
HLT,2/19/2022,2/24/2022,BNA
HLT,2/19/2022,2/24/2022,BUF
HLT,2/20/2022,2/25/2022,IND
HLT,2/20/2022,2/25/2022,JFK
HLT,2/21/2022,2/26/2022,ORD
HLT,2/21/2022,2/26/2022,SDF
HLT,2/21/2022,2/26/2022,TPA
HLT,2/22/2022,2/26/2022,OKC
HLT,2/23/2022,2/28/2022,ATL
HLT,2/24/2022,3/1/2022,CLT
HLT,2/24/2022,2/28/2022,ELP
HLT,2/25/2022,2/28/2022,DEN
HLT,2/27/2022,3/4/2022,MSY
HLT,2/27/2022,3/4/2022,STL
HLT,2/28/2022,3/5/2022,DTW
HLT,3/1/2022,3/6/2022,BWI
HLT,3/1/2022,3/6/2022,EWR
HLT,3/2/2022,3/7/2022,BHM
HLT,3/2/2022,3/7/2022,CLE
HLT,3/2/2022,3/6/2022,IAH
HLT,3/2/2022,3/7/2022,IND
HLT,3/2/2022,3/7/2022,MCI
HLT,3/2/2022,3/7/2022,MCO
HLT,3/3/2022,3/7/2022,AUS
HLT,3/3/2022,3/8/2022,CLT
HLT,3/3/2022,3/8/2022,JFK
HLT,3/3/2022,3/8/2022,ORD
HLT,3/3/2022,3/8/2022,PHL
HLT,3/3/2022,3/8/2022,RDU
HLT,3/4/2022,3/8/2022,DFW
HLT,3/4/2022,3/8/2022,ELP
HLT,3/4/2022,3/6/2022,LAS
HLT,3/4/2022,3/6/2022,LAX
HLT,3/4/2022,3/6/2022,OAK
HLT,3/4/2022,3/8/2022,OKC
HLT,3/4/2022,3/6/2022,SAN
HLT,3/4/2022,3/6/2022,SEA
HLT,3/4/2022,3/6/2022,SJC
HLT,3/5/2022,3/10/2022,ATL
HLT,3/9/2022,3/14/2022,SDF
HLT,3/10/2022,3/13/2022,GEG
HLT,3/10/2022,3/15/2022,MSY
HLT,3/10/2022,3/13/2022,OAK
HLT,3/10/2022,3/15/2022,BOS
HLT,3/11/2022,3/14/2022,DEN
HLT,3/11/2022,3/13/2022,LAS
HLT,3/11/2022,3/13/2022,LAX
HLT,3/11/2022,3/13/2022,PHX
HLT,3/11/2022,3/13/2022,SAN
HLT,3/11/2022,3/15/2022,SAT
HLT,3/11/2022,3/13/2022,SJC
HLT,3/13/2022,3/17/2022,DFW
HLT,3/13/2022,3/17/2022,OMA
HLT,3/14/2022,3/19/2022,BUF
HLT,3/16/2022,3/21/2022,ATL
HLT,3/16/2022,3/21/2022,BWI
HLT,3/16/2022,3/21/2022,PIT
HLT,3/16/2022,3/21/2022,RDU
HLT,3/16/2022,3/21/2022,STL
HLT,3/16/2022,3/21/2022,TPA
HLT,3/17/2022,3/22/2022,BNA
HLT,3/17/2022,3/22/2022,DTW
HLT,3/17/2022,3/20/2022,LAS
HLT,3/17/2022,3/22/2022,ORD
HLT,3/18/2022,3/22/2022,DFW
HLT,3/18/2022,3/22/2022,IAH
HLT,3/18/2022,3/20/2022,LAX
HLT,3/18/2022,3/20/2022,OAK
HLT,3/18/2022,3/21/2022,SAN
HLT,3/18/2022,3/20/2022,SJC
HLT,3/20/2022,3/24/2022,AUS
HLT,3/20/2022,3/25/2022,JFK
HLT,3/21/2022,3/26/2022,SDF
HLT,3/22/2022,3/27/2022,MCO
HLT,3/22/2022,3/24/2022,SEA
HLT,3/23/2022,3/28/2022,CLT
HLT,3/23/2022,3/28/2022,EWR
HLT,3/24/2022,3/29/2022,ATL
HLT,3/24/2022,3/27/2022,LAX
HLT,3/25/2022,3/28/2022,DEN
HLT,3/25/2022,3/27/2022,LAS
HLT,3/25/2022,3/27/2022,OAK
HLT,3/25/2022,3/29/2022,OMA
HLT,3/25/2022,3/27/2022,PHX
HLT,3/25/2022,3/27/2022,SAN
HLT,3/25/2022,3/27/2022,SJC
HLT,3/27/2022,4/1/2022,BWI
HLT,3/27/2022,4/1/2022,MCI
HLT,3/27/2022,4/1/2022,ORD
HLT,2/8/2022,2/12/2022,MSY
HLT,2/10/2022,2/14/2022,CLE
HLT,2/13/2022,2/17/2022,DSM
HLT,2/13/2022,2/17/2022,FSD
HLT,2/18/2022,2/22/2022,MEM
HLT,2/21/2022,2/25/2022,AMA
HLT,2/21/2022,2/25/2022,ABQ
HLT,2/24/2022,2/28/2022,CLT
HLT,3/1/2022,3/5/2022,MSP
HLT,3/4/2022,3/8/2022,JAX
HLT,3/4/2022,3/8/2022,ICT
HLT,3/5/2022,3/9/2022,LGB
HLT,3/7/2022,3/11/2022,SDF
HLT,3/11/2022,3/15/2022,DAY
HLT,3/11/2022,3/15/2022,SAT
HLT,3/19/2022,3/23/2022,GRR
HLT,3/22/2022,3/26/2022,CHA
HLT,3/22/2022,3/26/2022,OKC
HLT,3/25/2022,3/29/2022,FAR
HLT,3/29/2022,4/2/2022,MSP
HLT,4/1/2022,4/5/2022,CRP
HLT,4/4/2022,4/8/2022,MDW
HLT,4/7/2022,4/11/2022,BMI
HLT,4/7/2022,4/11/2022,GCK
HLT,4/10/2022,4/14/2022,MBS
HLT,4/10/2022,4/14/2022,OKC
HLT,4/13/2022,4/17/2022,OMA
HLT,4/16/2022,4/20/2022,BTR
HLT,4/16/2022,4/20/2022,GGG
HLT,4/19/2022,4/23/2022,CAE
LAU,2/1/2022,2/5/2022,MKE
LAU,2/2/2022,2/8/2022,ABE
LAU,2/3/2022,2/7/2022,MBS
LAU,2/3/2022,2/7/2022,GRR
LAU,2/4/2022,2/8/2022,HOU
LAU,2/5/2022,2/9/2022,SGF
LAU,2/5/2022,2/9/2022,LIT
LAU,2/6/2022,2/10/2022,IND
LAU,2/6/2022,2/10/2022,GRI
LAU,2/6/2022,2/10/2022,AZA
LAU,2/7/2022,2/11/2022,CWA
LAU,2/7/2022,2/11/2022,LNK
LAU,2/8/2022,2/12/2022,BWI
LAU,2/9/2022,2/13/2022,MCI
LAU,2/11/2022,2/15/2022,MSP
